"","SiteYear","masterid","stationcode","sampledate","evaluator","hydromodcomments","fullyarmored","fullyarmoredcomments","area.SqMile","precip.Inch","valleyslope","valleywidth.Meter","giscomments","d50estimate","d50","d50comments","bankheightl1","bankheightl2","bankheightl3","bankheightr1","bankheightr2","bankheightr3","bankheightcomments","bankanglel1","bankanglel2","bankanglel3","bankangler1","bankangler2","bankangler3","bankanglecomments","streambedstate","streambedstatecomments","armoringpotential","armoringpotentialcomments","GradeCtrl.Hydromod","GradeCtrlComnts.Hydromod","lateralsusceptibilityl","lateralsusceptibilityr","lateralsusceptibilitycomments","Q10","VertSuscept","LatRatingL1","LatRatingL2","LatRatingL3","LatRatingR1","LatRatingR2","LatRatingR3","AverageLatSuscept","Year","stationname","latitude","longitude","huc","county","smcshed","smc_lu","psa_lu","probabilistic","new_lat","new_long","regionalboardnumber","psa6c","psa9c","psa10c","eco_ii_2010","eco_iii_2010","ag_2000_1k","ag_2000_5k","ag_2000_ws","code_21_2000_1k","code_21_2000_5k","code_21_2000_ws","urban_2000_1k","urban_2000_5k","urban_2000_ws","roaddens_1k","roaddens_5k","roaddens_ws","paved_int_1k","paved_int_5k","paved_int_ws","invdamdist","ag_2011_1k","ag_2011_5k","ag_2011_ws","urban_2011_1k","urban_2011_5k","urban_2011_ws","forest_2011_1k","forest_2011_5k","forest_2011_ws","pasture_2011_1k","pasture_2011_5k","pasture_2011_ws","row_crops_2011_1k","row_crops_2011_5k","row_crops_2011_ws","channeltype","structurewidth","structureshape","structureshapecomments","rightsideofstructure","rightvegetation","rightsidecomments","leftsideofstructure","leftvegetation","leftsidecomments","bottom","bottomcomments","vegetation","lowflowpresence","lowflowwidth","gradecontrolpresence","gradecontrollocation","GradeCtrlComnts.ChEn","channelmodcomments","CRAM.Index","CRAM.Biotic","CRAM.Buffer","CRAM.Hydrology","CRAM.Physical","csci","ASCI.diatoms","ASCI.hybrid","ASCI.sba","ipi","ipi_percentile","ev_flowhab","ev_flowhab_score","h_aqhab","h_aqhab_pred","h_aqhab_score","h_subnat","h_subnat_score","pct_safn","pct_safn_pred","pct_safn_score","xcmg","xcmg_pred","xcmg_score","ipi_qa","ev_flowhab_qa","h_aqhab_qa","h_subnat_qa","xcmg_qa","pct_rc","vert.rating","av.lat.rating","channeltype2","channeltype3","channeltype4","channeltype3.vert","channeltype3.lat"
"18","403CE0156_2015","403CE0156","403CE0156",2015-06-11,"SM","","No",NA,45,25.9,0.023982732,820,"","15",15,"Not in file",0.12,0.14,0.14,0.12,0.14,0.14,NA,30,56,42,32,41,31,"","A",NA,"",NA,"",NA,4,4,NA,173.1384514,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2015,"Santa Paula Creek ~2.5mi above Santa Clara River",34.37746,-119.05968,403,"Ventura","Santa Clara","Open","Other",TRUE,34.3787875,-119.06381,4,"SC","SCx","SCx","Xeric",85,20,15,3,26.6351,7.4683,3.0884,16,2,0,4.53061932,1.95507021,1.06079998,1,5,39,0,21,16,3,18,2.06344318,0.38496166,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,73,61.11,80.63,75,75,0.46687972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"22","403M01506_2015","403M01506","403M01506",2015-06-17,"Karin Wisenbaker","","No",NA,1110,19.7,0.016,2396,"Area above max value 850","5",5,"",0.6,0.6,0.6,0.6,0.6,0.6,NA,5,40,20,20,10,75,"","A",NA,"",NA,"",NA,4,4,NA,2280.488094,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2015,"Santa Clara River u/s Torrey Rd",34.39739,-118.79347,403,"Ventura","Santa Clara","Agricultural","Other",TRUE,34.39739,-118.79347,4,"SC","SCx","SCx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61031582,1.9320181,1.38992992,2,44,1393,0,49,18,1,2,1.519211,4.068234,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,65,47.22,82.92,66.67,62.5,0.71906753,NA,NA,NA,0.9,0.21,15,1,21,1.01,1,20,1,57,41.75,0.59,51,134.25,0.26,0.05,0.3,0.55,0.05,0.5,1,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"24","403M01528_2016","403M01528","403M01528",2016-06-15,"Karin Wisenbaker","","No",NA,5.1,19.4,0.006,3940,"","",1,"SA",0.9,0.9,0.9,0.9,0.9,0.9,"",20,20,20,20,20,20,"","A","","",NA,"",NA,4,4,"",20.84736685,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2016,"Franklin Barranca in SCR at Hwy 118",34.27599,-119.14219,403,"Ventura","Santa Clara","Agricultural","Ag",TRUE,34.27566173,-119.1436936,NA,"SC","SCx","SCx","Xeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95639931,3.28350445,2.0847709,3,13,23,0,11,54,29,61,14.024788,7.29131406,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Absent",NA,NA,NA,66,58.33,90.29,66.67,50,0.37462963,0.272396534,0.452558779,0.773641143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"25","403M01538_2017","403M01538","403M01538",2017-05-25,"Karin Wisenbaker","","No","",23.6,21.1,0.006,163,"",NA,15,"",0.45,0.35,0.7,0.35,0.35,0.9,"",15,40,30,60,70,35,"","A",NA,"N/A",NA,"N/A",NA,4,4,NA,84.33129252,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2017,"",34.41199,-118.83067,403,"Ventura","Santa Clara","Agricultural","Other",TRUE,34.41199,-118.83067,4,"SC","SCx","SCx",NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90561652,0.75006121,0.41140232,2,33,33,0,2,0,0,0,0.02373512,0.00884564,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,72,58.33,90.29,75,62.5,0.82583116,0.975576403,0.926158396,0.865274151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"34","403M05758_2015","403M05758","403M05758",2015-06-29,"DO/MM","","No",NA,418,17.6,0.005970625,558,"",NA,1.03,"",2,1.5,1.5,1.5,1,1.5,NA,30,40,30,20,15,25,"","A",NA,"",NA,"",NA,5,5,NA,893.9761711,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2015,"Santa Clara River",34.43484,-118.61254,403,"Los Angeles","Santa Clara","Agricultural","Other",TRUE,34.43484,-118.61254,4,"SC","SCx","SCx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20043605,6.13082296,2.33117675,0,36,846,0,11,2,0,19,43.30003,9.11415,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,76,72.22,90.29,66.67,75,0.81188221,NA,NA,NA,0.88,0.15,11,1,23,1.01,1,22,1,61,41.81,0.54,45,134.26,0.23,0.05,0.3,0.55,0.05,0.45,1,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"47","403WE0535_2015","403WE0535","403WE0535",2015-06-10,"SM/WJ","","No",NA,432,21.5,0.007974005,484,"","35",35,"Not in file",0.12,0.14,0.14,0.12,0.14,0.14,NA,4,3,4,2,4,6,"","A",NA,"",NA,"",NA,4,4,NA,1073.263345,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2015,"Piru Creek 1.7 miles down stream from Lake Piru",34.43957,-118.75907,403,"Ventura","Santa Clara","Open","Ag",TRUE,34.4394354,-118.76034,4,"SC","SCx","SCx","Xeric",85,5,0,0,4.0051,4.6452,1.8471,0,0,0,2.61598818,1.59781503,0.40760016,3,21,240,0,4,0,0,0,0.06601594,0.26216873,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,78,77.78,90.29,58.33,87.5,0.83271969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"48","403WE0682_2015","403WE0682","403WE0682",2015-06-09,"WJ","","No",NA,14.6,18.3,0.011961007,101,"","15",15,"Not in file",0.1,0.1,0.12,0.1,0.12,0.13,NA,20,30,35,30,35,50,"","A",NA,"",NA,"",NA,4,4,NA,49.76593261,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2015,"Bouquet Canyon Creek ~0.5mi Below Bouquet Reservoir",34.57066,-118.38974,403,"Los Angeles","Santa Clara","Open","Other",TRUE,34.5704221,-118.39079,4,"SC","SCm","SCm","Mountain",8,0,0,0,6.8842,6.1974,5.1114,0,0,0,0.85496928,0.41159009,0.27104262,1,1,1,0,0,0,0,0,0.10709406,0.12297214,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","Within reach",NA,NA,73,66.67,90.29,58.33,75,1.00697747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"102","412M08608_2016","412M08608","412M08608",2016-06-02,"Karin Wisenbaker","","No",NA,18.9,18.5,0.012,21989,"","",1,"Sand",0.65,0.68,0.68,0.65,0.8,0.8,"",20,45,45,32,45,45,"","A","","",NA,"",NA,4,4,"",62.82056297,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2016,"Bull Creek",34.18543,-118.49768,412,"Los Angeles","Los Angeles","Urban","Other",TRUE,34.18425736,-118.497745,NA,"SC","SCx","SCx","Xeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28149044,11.1684137,7.99613258,1,8,99,0,0,0,0,84,93.3716707,48.73923501,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Present","Within reach",NA,NA,61,61.11,75,58.33,50,0.48565805,NA,NA,NA,0.82,0.07,12,1,29,1.05,1,27,1,66,41.8,0.1,62,134.25,0.33,0.18,0.3,0.36,0.18,0.41,31,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"142","801M16908_2016","801M16908","801M16908",2016-05-24,"Damon Owen","","No",NA,106,23.7,0.004,12787,"","",NA,"",2.5,4.5,2.5,2.5,2,2.5,"",38,50,60,65,35,40,"","A","","",NA,"",NA,2,2,"",340.7455185,"High","HIGH","VERY HIGH","VERY HIGH","VERY HIGH","HIGH","HIGH","VERY HIGH",2016,"SMC16908",33.91828,-117.63602,801,"Riverside","Middle Santa Ana","Agricultural","Urban",TRUE,33.91795042,-117.6377466,NA,"SC","SCx","SCx","Xeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91364255,3.17495654,6.72695447,1,5,234,0,18,39,9,5,21.14243323,51.68237741,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,66,55.56,93.29,66.67,50,0.78274644,0.781911114,0.780977331,0.803160404,0.86,0.13,11,1,24,1.2,1,23,1,57,42.27,0.6,34,134.25,0.16,0.04,0.3,0.45,0.04,0.41,1,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
"161","901M14126_2016","901M14126","901M14126",2016-05-17,"Brianna Jones","","No",NA,27,15.1,0.002,365,"","",1,"SA",0.55,0.5,0.45,0.55,0.5,0.45,"",45,42,-88,42,40,34,"L3 Not Recorded","A","","",NA,"",NA,4,4,"",73.27512159,"High","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",2016,"Aliso Creek downstream of Alicia Pkwy.",33.54743,-117.7223,901,"Orange","San Juan","Open","Other",TRUE,33.54628713,-117.7230953,NA,"SC","SCx","SCx","Xeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.88082875,13.64590248,12.50275949,3,151,263,0,0,0,0,59,69.53751216,64.37540578,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, not within past month",NA,NA,"Absent",NA,NA,"yearly Arundo removal",71,66.67,93.29,75,50,0.58620272,0.68423312,0.736419898,0.801400203,0.92,0.25,13,1,23,1.21,1,16,1,64,42.77,0.51,64,134.25,0.34,0.04,0.3,0.45,0.04,0.41,1,3,4,"Natural","Natural & Earthen Engineered","Natural & Earthen Engineered","High Natural","Very
High
Natural"
